id,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4382054705416396,#不潮不出街#悠闲下午时光～ Dear-迪丽热巴的秒拍视频 ,,"http://f.us.sinaimg.cn/002YRPx7lx07uzlTVySc01041200erCl0E010.mp4?label=mp4_720p&template=1280x720.23.0&Expires=1567158469&ssig=fGIKWWQVUJ&KID=unistore,video",,2019-06-11,,394563,266391,1000000,不潮不出街,
4381312410216312,带话题词#我的身边有非遗#发布微博，分享你知道的非物质文化遗产，让我们一起关注文化传承。#极限挑战# Dear-迪丽热巴的秒拍视频 ,,"http://f.us.sinaimg.cn/001JWrQslx07uw5l2Y3601041200aRnD0E010.mp4?label=mp4_720p&template=1280x720.23.0&Expires=1567158469&ssig=18%2FnfM4YMx&KID=unistore,video",,2019-06-09,,301754,169169,999815,"我的身边有非遗,极限挑战",
﻿4381207217392722,100多天，说长不长，说短不短的，特别开心可以陪伴学员们一起成长，也特别开心可以和最尊敬的四位老师合作，未来我们一起加油啊！！ ,"https://wx4.sinaimg.cn/large/63885668ly1g3unse580jj220a30fhdv.jpg,https://wx1.sinaimg.cn/large/63885668ly1g3unsclg5hj21zk2zcu0z.jpg,https://wx3.sinaimg.cn/large/63885668ly1g3unsgedccj23uw2kmqv7.jpg,https://wx1.sinaimg.cn/large/63885668ly1g3unsjh4jtj23uw2kl7wk.jpg",,,2019-06-09,,630740,346268,1000000,,
4380517519047355,#比耶季##高考加油#大家高考加油鸭！！！ ,"https://wx3.sinaimg.cn/large/63885668ly1g3sglifn9dj21jk223npg.jpg,https://wx2.sinaimg.cn/large/63885668ly1g3sglkoxyrj21jk223qv8.jpg",,,2019-06-07,,764444,365733,1000000,"比耶季,高考加油",
4379825714272349,#蓝天保卫战我是行动者# 我承诺使用环保购物袋代替一次性塑料袋，助力蓝天。#和地球自拍#@联合国环境规划署 @星光公益联盟 ,https://wx4.sinaimg.cn/large/63885668ly1g3q959c6imj21s02dce81.jpg,,,2019-06-05,,399257,25617,337637,"蓝天保卫战我是行动者,和地球自拍","联合国环境规划署,星光公益联盟"
4379188905591760,这一年，做自己。不要停下努力的步伐。 ,https://wx2.sinaimg.cn/large/63885668gy1g3o6vo7axqj21jk2bc1kz.jpg,,,2019-06-03,,1346071,1000000,1000000,,
4378893399854472,今天是我的生日，来祝福我吧！,,,,2019-06-03,生日动态,729106,109903,689941,,
4378514142544199,27岁♥️第一次有这么多人陪我一起过生日🎂我真的特别特别感谢台前幕后的所有工作人员，还有你们我的阿丝儿，有人问为啥27岁要办生日会，因为2.7～只有87你们会懂♥️ ,"https://wx1.sinaimg.cn/large/63885668ly1g3m2i4u0j5j24782stkjl.jpg,https://wx2.sinaimg.cn/large/63885668ly1g3m2i9rqcxj238m1a6x6q.jpg,https://wx2.sinaimg.cn/large/63885668ly1g3m2i6ulxpj250m3cf1kz.jpg,https://wx4.sinaimg.cn/large/63885668ly1g3m2ibx84aj23do52ihdv.jpg,https://wx4.sinaimg.cn/large/63885668ly1g3m2idqix1j251m3d3kjl.jpg,https://wx3.sinaimg.cn/large/63885668ly1g3m2i3568fj23do52inpg.jpg",,,2019-06-01,,1159932,1000000,1000000,,
4378432861003779,#迪丽热巴生日会# 热·爱️终于实现了承诺，紧张～（来自@Dear-迪丽热巴 的一直播）APP下载地址：网页链接 ,,,,2019-06-01,一直播Yi,257455,58987,14774,迪丽热巴生日会,
4378408970314843,看到你们在乖乖排队偷拍了一下一会儿见阿丝儿们 ,https://wx2.sinaimg.cn/large/63885668ly1g3lqe472kwj23k01n21kz.jpg,,,2019-06-01,,568192,327720,1000000,,
4377988713615824,#极限挑战#差不多就行了 咋害没完没了呢 Dear-迪丽热巴的微博视频 ,,"http://f.us.sinaimg.cn/000cnn6Nlx07uhsnefj201041200iprT0E010.mp4?label=mp4_720p&template=720x1280.24.0&Expires=1567158469&ssig=cGlkbA7SGp&KID=unistore,video",,2019-05-31,,377627,71808,842333,极限挑战,
﻿4375153347428616,你说，哥哥都听你的 ,"https://wx2.sinaimg.cn/large/63885668ly1g3bchdjvelj215o1qie82.jpg,https://wx4.sinaimg.cn/large/63885668ly1g3bch93ctmj215o1qjb2a.jpg",,,2019-05-23,,574564,322863,1000000,,
4375077359251211,有的时候，真的比男生还man ,"https://wx1.sinaimg.cn/large/63885668ly1g3b3o7yf2bj20yh1as4qp.jpg,https://wx1.sinaimg.cn/large/63885668ly1g3b3odiop5j20yi1as1kx.jpg,https://wx1.sinaimg.cn/large/63885668ly1g3b3ok8dhzj20yh1as7wh.jpg",,,2019-05-23,,394636,200630,1000000,,
4374704284181632,#爱上LV链条包# 时髦的三种颜色，随你风格百变～@路易威登 Dear-迪丽热巴的秒拍视频 ,,"http://f.us.sinaimg.cn/003ZwTCVlx07u30427bi01041200713v0E010.mp4?label=mp4_720p&template=1280x720.23.0&Expires=1567158469&ssig=yNBHUfWX8h&KID=unistore,video",,2019-05-22,,266182,181545,1000000,爱上LV链条包,路易威登
4373787753216803,终于完成了26岁的愿望了哦 Dear-迪丽热巴的微博视频 ,,"http://f.us.sinaimg.cn/000kAFqGlx07tYXVkZIk01041202UrIT0E020.mp4?label=mp4_720p&template=1280x720.23.0&Expires=1567158469&ssig=H1WLwMK2KB&KID=unistore,video",,2019-05-19,,382930,203809,1000000,,
4373736519383526,爱丽丝们行行好 别再催了好不好 ,https://wx4.sinaimg.cn/large/63885668ly1g36tsgvf15j21jk2bcb2b.jpg,,,2019-05-19,,421389,213749,1000000,,
4372520205227763,等你来我的生日会  Dear-迪丽热巴的秒拍视频 ,,"http://f.us.sinaimg.cn/002ajdlJlx07tTo4Dbfi010412004wQe0E010.mp4?label=mp4_720p&template=1280x720.23.0&Expires=1567158469&ssig=bTXYI5C9Bn&KID=unistore,video",,2019-05-16,,439927,353835,1000000,,
4370831435803849,#极限挑战# 让我们相约在明日的东方卫视，让我们看起那些令迪头大的瞬间，只是捡完这袋垃圾，我不一定会娶你。 ,"https://wx3.sinaimg.cn/large/63885668ly1g2xk0wxv4lj215o223kjn.jpg,https://wx1.sinaimg.cn/large/63885668ly1g2xk161bmuj21c41c4wzv.jpg,https://wx3.sinaimg.cn/large/63885668ly1g2xk107p25j21i31i47wh.jpg,https://wx2.sinaimg.cn/large/63885668ly1g2xk2190yij21jm1jmqv5.jpg",,,2019-05-11,,409598,308639,1000000,极限挑战,
﻿4367411677592616,Pick全新#YSL反转巴黎#花溢香水，可甜可酷，敢来接受这次反转挑战吗？ ,"https://wx2.sinaimg.cn/large/63885668ly1g2mnep77mpj235d4q21kx.jpg,https://wx3.sinaimg.cn/large/63885668ly1g2mnesz7z3j23gg56o7wj.jpg,https://wx3.sinaimg.cn/large/63885668ly1g2mnenl1u0j22cn3iyx6r.jpg,https://wx2.sinaimg.cn/large/63885668ly1g2mnewzbvej239t4wqqv6.jpg",,,2019-05-02,,497259,370394,1000000,YSL反转巴黎,
4367281851281154,收工💙🖤想吃拉面🍜 ,https://wx2.sinaimg.cn/large/63885668gy1g2m8fx3bxqj215o1k0azp.jpg,,,2019-05-01,,513751,315067,1000000,,
4366394307033621,时尚并非遥远星河触不可及你每天的样子，都是特别存在！@Mytheresa 为你pick#每日时尚甜心# ，让你成为最时尚的#MY女孩#网页链接 ,https://wx1.sinaimg.cn/large/63885668ly1g2je7asptpj23as4y6npg.jpg,,,2019-04-29,,350033,205022,1000000,"每日时尚甜心,MY女孩",Mytheresa
4365425359644164,#新青年耀青春##我宣誓你接力#激荡未来，壮志在我；青春万岁，强国有我！ @中国青年报 @中国青年网 @湖南卫视 Dear-迪丽热巴的秒拍视频 ,,"http://f.us.sinaimg.cn/000NzRPalx07to9YGh2g01041200vUAo0E010.mp4?label=mp4_720p&template=1280x720.23.0&Expires=1567158470&ssig=hc2yKidMnr&KID=unistore,video",,2019-04-26,,240580,314604,1000000,"新青年耀青春,我宣誓你接力","中国青年报,中国青年网,湖南卫视"
﻿4362937634356926,感谢@angelica张宇 @VogueMe 的邀请，祝VogueMe三周年快乐！今晚我们都是CoolPeople！ ,"https://wx2.sinaimg.cn/large/63885668ly1g28dhkqxl1j24mh32ze82.jpg,https://wx4.sinaimg.cn/large/63885668ly1g28dhm5p5ij21ud2qlnpe.jpg,https://wx2.sinaimg.cn/large/63885668ly1g28dhocthuj233j4na1kz.jpg,https://wx4.sinaimg.cn/large/63885668ly1g28dhq69hej21xm2wgu0y.jpg",,,2019-04-19,,365920,243159,1000000,,"angelica张宇,VogueMe"
4362760618074625,快来#走进香奈儿展览# 打卡拍美照啦～#MademoisellePrive#  网页链接 ,"https://wx3.sinaimg.cn/large/63885668ly1g27t6h393tj232e40cb2c.jpg,https://wx3.sinaimg.cn/large/63885668ly1g27t6j8x37j24g02yob2c.jpg,https://wx1.sinaimg.cn/large/63885668ly1g27t6l7f78j22yo3vi1l0.jpg,https://wx3.sinaimg.cn/large/63885668ly1g27t6nk15tj23et4glu11.jpg,https://wx2.sinaimg.cn/large/63885668ly1g27t6f7bogj20zk1ean29.jpg,https://wx3.sinaimg.cn/large/63885668ly1g27t6qd692j24g02yo7wl.jpg,https://wx2.sinaimg.cn/large/63885668ly1g27t6slx09j24g02yonpg.jpg,https://wx4.sinaimg.cn/large/63885668ly1g27t6uoxysj24g02yo7wj.jpg,https://wx2.sinaimg.cn/large/63885668ly1g27t6wqbfej24g02you10.jpg",,,2019-04-19,,377612,195904,1000000,"走进香奈儿展览,MademoisellePrive",
4361746657096949,祝@VogueMe  三周年生日快乐！#年轻就是不惧##VogueMeCoolPeople酷枇杷# 4月19日，一起酷玩～  @angelica张宇 ,https://wx2.sinaimg.cn/large/63885668ly1g24ks31yoxj21tm2glu0x.jpg,,,2019-04-16,,235499,114025,710863,"年轻就是不惧,VogueMeCoolPeople酷枇杷","VogueMe,angelica张宇"
4360193510773588,赤诚壮志在我胸，奋斗争先锋，幸运是努力到拼就开始起作用，看少年多英雄！我是#创造营2019#男团发起人迪丽热巴，我宣布创造营2019主题曲#喊出我的名字挑战赛#正式开始，不服来战，call me call my name！第一次挑战男团舞，真的不简单快来接受本发起人的挑战吧 迪丽热巴版主题曲《喊出我的名字》，发起人太帅了！ ,,https://multimedia.api.weibo.com/2/multimedia/redirect_tencent_video.json?vid=n0030yh0vlh,,2019-04-12,,448413,148766,1000000,"创造营2019,喊出我的名字挑战赛",
4359861921979360,旋转跳跃 我闭着眼 ,"https://wx3.sinaimg.cn/large/63885668ly1g1yjce8bk7j22c0340hdx.jpg,https://wx1.sinaimg.cn/large/63885668ly1g1yjcrp2rtj22c0340u10.jpg,https://wx3.sinaimg.cn/large/63885668ly1g1yjd4knswj22c03401l1.jpg,https://wx3.sinaimg.cn/large/63885668ly1g1yjju4r9kj22c0340u10.jpg,https://wx3.sinaimg.cn/large/63885668ly1g1yjdgrvr4j23402c0x6r.jpg,https://wx1.sinaimg.cn/large/63885668ly1g1yjdp7dnuj22482tqkjl.jpg,https://wx4.sinaimg.cn/large/63885668ly1g1yjdqo8wdj20u0146tgk.jpg",,,2019-04-11,,535893,277866,1000000,,
4358094845351040,托个腮都是爱你们的形状♥️ ,"https://wx1.sinaimg.cn/large/63885668ly1g1sxajyeqtj21jk21y4qs.jpg,https://wx2.sinaimg.cn/large/63885668ly1g1sxamcnsrj21jk21yhdv.jpg",,,2019-04-06,,774300,367397,1000000,,
4358003744099355,#XX 蒙了# 来一口@安慕希希腊酸奶 高端畅饮型橙肉凤梨新品立刻解惑哦～简单几何色彩拼接与浓郁的美味碰撞出蒙德里安风潮流美学，时尚前卫，让你玩转春日最硬核的美味艺术！快随我一起秀出你的蒙德里安风潮流style吧～ Dear-迪丽热巴的微博视频 ,,"http://f.us.sinaimg.cn/000J44xflx07sRuKvnJm010412003LG90E010.mp4?label=mp4_720p&template=720x1280.24.0&Expires=1567158480&ssig=yJoM5EZJ8B&KID=unistore,video",,2019-04-06,,255782,49014,529344,XX 蒙了,安慕希希腊酸奶
﻿4354814903554798,#Be a Vogue Star# @VogueMe ,https://wx3.sinaimg.cn/large/63885668gy1g1igozs1uzj22uc49jb2i.jpg,,,2019-03-28,,374336,399469,1000000,Be a Vogue Star,VogueMe
4353004590882236,和我一起热血助威#2019FE电动方程式#[加油][加油][加油] ,https://wx2.sinaimg.cn/large/63885668ly1g1cos7itahj20ku1127vz.jpg,,,2019-03-23,,249962,353895,1000000,2019FE电动方程式,
4350230641552318,哇！！谢谢红雷哥 @孙红雷 ！！！！我打的字超出太多只能发图片了我会努力的[加油][加油][加油] ,https://wx3.sinaimg.cn/large/63885668ly1g13u3geyclj20tz1qldwd.jpg,,,2019-03-15,,560036,571477,1000000,,孙红雷
﻿4345711484815836,今天是#世界野生动植物日# ，大海是无数可爱生物的家，也养育着全球数十亿的人口。珍存海洋生物的独特魅力，需要大家的共同关注。每行动一小步，便离我们憧憬的世界更近一步——野生生物在健康的陆地上和海洋中生生不息，人类崇尚和热爱地球生命的多样性及完整性，并受益其中。@WCS野生生物保护学会 ,https://wx4.sinaimg.cn/large/63885668ly1g0pf6avv1ij22bk1igu0p.jpg,,,2019-03-03,OPPO随光而变R17 Pro,269967,280932,1000000,世界野生动植物日,WCS野生生物保护学会
4345003566620944,#OPEN UP打开真我#  努力改变，只是不想输给自己；努力出发，只是想饱览终点前的精彩；现在，我要和@Garmin官方微博  一起去挑战，去冒险，去探索未知的自己。#热巴与Garmin带你型动# ,"https://wx1.sinaimg.cn/large/63885668ly1g0n5uysvy7j273x4k2hdw.jpg,https://wx3.sinaimg.cn/large/63885668ly1g0n5v2dkrqj273x4k2hdw.jpg,https://wx3.sinaimg.cn/large/63885668ly1g0n5v4x0hzj23uw2h1e84.jpg,https://wx4.sinaimg.cn/large/63885668ly1g0n5v80bxuj273x4k2e84.jpg,https://wx4.sinaimg.cn/large/63885668ly1g0n5vbvkh9j273x4k2b2c.jpg,https://wx1.sinaimg.cn/large/63885668ly1g0n5vfops3j273x4k27wk.jpg",,,2019-03-01,OPPO随光而变R17 Pro,384120,427136,1000000,"OPEN UP打开真我,热巴与Garmin带你型动",Garmin官方微博
4344377683539133,看到你们都在唱歌了……清醒一点，我来了 ,"https://wx2.sinaimg.cn/large/63885668ly1g0l5zrgy94j20ty13yna6.jpg,https://wx3.sinaimg.cn/large/63885668ly1g0l5zs4iunj20ty13yqo3.jpg,https://wx4.sinaimg.cn/large/63885668ly1g0l5zspkjqj20u0140h73.jpg,https://wx1.sinaimg.cn/large/63885668ly1g0l5zt815sj20u01401a1.jpg",,,2019-02-27,OPPO随光而变R17 Pro,679528,1000000,1000000,,
4342085753111363,快跟我一起精彩#起.范儿#，秘诀都在@QINA亓那眼镜 Dear-迪丽热巴的秒拍视频 ,,"http://f.us.sinaimg.cn/003g8LaGlx07rJqXPawM01041200pnji0E010.mp4?label=mp4_720p&template=1280x720.20.0&Expires=1567158482&ssig=CAur6MWvEM&KID=unistore,video",,2019-02-21,OPPO随光而变R17 Pro,447335,1000000,1000000,起.范儿,QINA亓那眼镜
4339654788176263,#情人节这样过#大家情人节快乐，请快乐女孩独自美丽，莫要安排，谢谢大家！ ,"https://wx1.sinaimg.cn/large/63885668gy1g063jti256j215o1qix6q.jpg,https://wx3.sinaimg.cn/large/63885668gy1g063jzyd84j215o1qix6q.jpg,https://wx2.sinaimg.cn/large/63885668gy1g063kgpswyj215o1qix6q.jpg,https://wx3.sinaimg.cn/large/63885668gy1g063km7askj215o1qix6q.jpg,https://wx2.sinaimg.cn/large/63885668gy1g063kre793j21qi15onpe.jpg,https://wx1.sinaimg.cn/large/63885668gy1g063kvkt2nj215o1qix6q.jpg",,,2019-02-14,OPPO随光而变R17 Pro,1142646,1000000,1000000,情人节这样过,
4336258908503343,#新年心祝福#祝大家新年快乐！！！2019我们继续朝着梦想的方向加油哇！！！💪💪💪 ,"https://wx4.sinaimg.cn/large/63885668ly1fzv9k4m3m4j21jj2bcx6r.jpg,https://wx1.sinaimg.cn/large/63885668ly1fzv9kbawnjj23294lcnpe.jpg,https://wx1.sinaimg.cn/large/63885668ly1fzv9kghsyvj230u4mgb2a.jpg",,,2019-02-05,OPPO随光而变R17 Pro,598157,1000000,1000000,新年心祝福,
4336078779803340,明星动态,,,,2019-02-04,明星动态,254631,300874,60664,,
﻿4336034117971765,本胖迪的2019祝福来啦～请大家接收新年祝大家事事顺心，开心每一天～我与@让红包飞 也给大家的准备了一份#新春锦鲤#红包哦～关注并转发这条微博，抽出100个幸运锦鲤，每人送2019元现金红包哦～快来收获这波#春晚#祝福吧～2月11日开奖@微博抽奖平台 让红包飞的微博视频 ,,"http://f.us.sinaimg.cn/003Ly6eklx07rftmAYRO01041200xo770E010.mp4?label=mp4_720p&template=720x1280.24.0&Expires=1567158482&ssig=t%2FXOOopkpK&KID=unistore,video",,2019-02-04,OPPO随光而变R17 Pro,542590,179966,770400,"新春锦鲤,春晚","让红包飞,微博抽奖平台"
4331691114295260, ,"https://wx1.sinaimg.cn/large/63885668ly1fzgoxtxacqj235w4qtkjm.jpg,https://wx4.sinaimg.cn/large/63885668ly1fzgoxym4yuj237r4tm4qr.jpg,https://wx4.sinaimg.cn/large/63885668ly1fzgoy4e98mj236t4s71kz.jpg,https://wx2.sinaimg.cn/large/63885668ly1fzgoyadfe9j238d4ul1kz.jpg",,,2019-01-23,OPPO随光而变R17 Pro,662260,1000000,1000000,,
4330477361823725,答应我要用新造型来迎接新年鸭出镜率很高的YEEZY小白鞋是我搭配的秘密武器#新年YEEZY搭新衣# @adidasOriginals👉网页链接 ,"https://wx4.sinaimg.cn/large/63885668ly1fzctim4ufsj22l93vthdu.jpg,https://wx4.sinaimg.cn/large/63885668ly1fzctipq76pj22gx3pcx6p.jpg,https://wx1.sinaimg.cn/large/63885668ly1fzctirrbawj22mi3xq4qq.jpg",,,2019-01-20,OPPO随光而变R17 Pro,391923,500690,1000000,新年YEEZY搭新衣,adidasOriginals
4330099422015681,#良品铺子迪丽热巴#这是一条很好吃的微博大大的坚果、鲜嫩的海味还有自然的果干果脯，哪个是你们的最爱呢？今天下午五点，关注@良品铺子  微博直播，邀请大家和我一起探秘高端零食箱！等你们来哦～ ,https://wx3.sinaimg.cn/large/63885668ly1fzbm5kp3k6j20ty1hcqv5.jpg,,,2019-01-19,OPPO随光而变R17 Pro,206165,128552,347914,良品铺子迪丽热巴,良品铺子
4329382316787562,清晨午后黄昏的巴黎，一直是我记忆中最美的瞬间，#YSL反转巴黎# 想要抓住我吗？ #CatchMyHeart# ,"https://wx4.sinaimg.cn/large/63885668ly1fz9bsqz76oj21tm2qfkjn.jpg,https://wx3.sinaimg.cn/large/63885668ly1fz9bssyx9oj21tm2qe1l0.jpg,https://wx4.sinaimg.cn/large/63885668ly1fz9bsur37dj21tm2qex6r.jpg,https://wx1.sinaimg.cn/large/63885668ly1fz9bswmfuaj22qe1tm1l0.jpg",,,2019-01-17,OPPO随光而变R17 Pro,532418,597934,1000000,"YSL反转巴黎,CatchMyHeart",
4328664940066319,看到你...我有一点点动心#欧莱雅小钢笔##雾上瘾# ,https://wx3.sinaimg.cn/large/63885668ly1fz71ecgpzcj22ru3o0qvd.jpg,,,2019-01-15,OPPO随光而变R17 Pro,310929,555078,1000000,"欧莱雅小钢笔,雾上瘾",
4327396632740022,明星动态,,,,2019-01-11,明星动态,268701,235901,32554,,
﻿4326939580100290,年会节目～请勿模仿😂  微博视频 ,,,,2019-01-10,微博视频,374705,435367,1000000,,
4326666405124518,新的一年，祝大家开开心心，天天顺利1月11日，2018#微博之夜#一起玩耍！微博之夜的微博视频 ,,"http://f.us.sinaimg.cn/001Yimjulx07qDqGuUTS010412008AHa0E010.mp4?label=mp4_720p&template=1280x720.20.0&Expires=1567158490&ssig=rLyhaC754q&KID=unistore,video",,2019-01-09,OPPO随光而变R17 Pro,227329,153199,198765,微博之夜,
